,laboratory,city,country,lat,long,contact
22,University of Massachusetts Amherst,Amherst,USA,-72.524696,42.393578,cschweik at pubpol dot umass dot edu
23,University of Kansas,"Lawrence, KS",USA,-95.251311,38.958578,lixi at ku.edu
24,"Center for Spatial Sciences, University of California, Davis",Davis,USA,-121.766945,38.548801,aimandel at ucdavis.edu
25,Laboratorio de Software Libre,Zacatecas,Mexico,-102.5791,22.7608,manuel.haro at zacatecas.gob.mx
26,Kent State University,"Kent, Ohio",USA,-81.357886,41.153667,xye5 at kent.edu
27,"Center for Applied GIScience, University of North Carolina, Charlotte","Charlotte, NC",USA,-80.73,35.306944,WenwuTang at uncc.edu
28,"University of Nottingham, Malaysia campus",Semenyih,Malaysia,101.721298,3.172932,Tuongthuy.Vu at nottingham.edu.my
29,Universiti Teknologi Malaysia (UTM),Johor Bahru,Malaysia,101.874222,2.943748,hawani at utm.my
30,"National College of Public Administration and Governance(NCPAG), University of the Philippines",Manila,Philippines,121.059875,14.656005,nctiglao at gmail.com
31,Environmental Science for Social Change (ESSC),Quezon City,Philippines,121.062241,14.64372,unknown
32,"Lab for Spatial Informatics, IIIT Hyderabad",Hyderabad,India,78.3503,17.4454,rajan@iiit.ac.in
33,"Geospatial Research and Education Lab(GREL), Institute of Space Technology (IST)",Islamabad,Pakistan,73.175045,33.52006,waqas(dot)qazi(at)grel(dot)ist(dot)edu(dot)pk
34,"Department of Geography, Geoinformatics and Meteorology, University of Pretoria",Pretoria,South Africa,28.22847,-25.75429,serena dot coetzee at up dot ac dot za
35,Regional Centre for Mapping of Resources for Development (RCMRD),Nairobi,Kenya,36.858574,-1.249038,farah at rcmrd.org
36,University of Ghana,Accra,Ghana,-0.191617,5.650366,unknown
37,The University of Melbourne,Melbourne,Australia,144.962006,-37.797932,jack.barton at unimelb.edu.au
38,Spatial {Query} Lab at Texas A&M University - Corpus Christi,Corpus Christi,USA,-97.328799,27.714506,Richard.Smith at tamucc.edu
39,CEPT University,Ahmedabad,India,72.566004,23.039568,anjanavyas at cept.ac.in rawalnet at cept.ac.in
40,Programa de Gestión de Información y Gestión de Datos -IRPHa Universidad Nacional de San Juan,San Juan,Argentina,-68.57,-31.54,valentina@unsj.edu.ar; pgid.irpha@gmail.com
41,"GeoDa Center for Geospatial Analysis and Computation, Arizona State University","Tempe, AZ",USA,-111.940005,33.42551,geodacenter at asu.edu
42,National Technical University of Athens,Athens,Greece,23.72931,37.983716,unkown
43,IGN- France,Paris,France,2.352222,48.856614,unknown
44,Universitat Oberta de Catalunya,Barcelona,Spain,2.173403,41.385064,aperezn at uoc.edu
45,ISRIC - World Soil Information foundation,Wageningen,The Netherlands,5.665662,51.9875,jorge.mendesdejesus at wur.nl
46,Universidade da Coruña,A Coruña (España),Spain,-8.41154,43.362344,unknown
47,"Geoinformatic Unit, Universiti Sains Malaysia",Penang,Malaysia,100.484623,5.263234,rruslan at usm.my
48,Kathmandu University,Dhulikhel,Nepal,85.55,27.616667,unknown
49,"GIS and Remote Sensing Unit, Fondazione Edmund Mach",San Michele all'Adige (Trento),Italy,11.133042,46.187865,luca.delucchi at fmach.it
50,University of South Wales,Cardiff,United Kingdom,-3.17909,51.481581,mark.ware at southwales.ac.uk
51,Portland State University,"Portland, Oregon",USA,-122.676207,45.523452,percy at pdx.edu
52,IGAD Climate Prediction and Applications Center,Nairobi,Kenya,36.821946,-1.292066,fbenda at icpac.net
53,Federal University of Ceará,Ceará,Brazil,-38.543395,-3.718394,adryanegorayeb@gmail.com
54,University of Gloucestershire,Gloucester and Cheltenham,United Kingdom,-2.223409,51.872215,osgeolab at glos.ac.uk
55,University of Moratuwa,Moratuwa,Sri Lanka,79.9008,6.7964,toaruna at gmail.com
56,Fudan University,Shanghai,China,121.452,31.198,epistat at gmail.com
57,Haskell Indian Nations University,"Lawrence, Kansas",USA,-95.230691,38.938859,dmcdermott at haskell.edu
58,"University of Zagreb, Faculty of Geodesy",Zagreb,Croatia,15.963888,45.8085,dtutic at geof.hr
59,GeoBolivia-Vice-presidency of the State,La Paz,Bolivia,-68.1547,-16.4949,rafemoro at gmail.com rmolina@geo.gob.bo
60,"Geodesy and Geomatics Engineering, University of New Brunswick","Fredericton, NB",Canada,-66.641474,45.950252,emmanuel.stefanakis at gmail.com
61,"Faculty of Geomatics, Sabaragamuwa University of Sri Lanka","Belihuloya, Sabaragamuwa",Sri Lanka,80.78995,6.7102,thilantha9 at gmail.com
62,"Dpt of IT, Faculty of Computing, Sri Lanka Institute of Information Technology",Malabe,Sri Lanka,79.97316667,6.914866667,nimalikaf at gmail.com
63,University of Geneva - Institute for Environmental Sciences,Geneva,Switzerland,6.1487,46.2253,gregory.giuliani at unige.ch
64,Geometa Lab at HSR - University of Applied Sciences Rapperswil,Rapperswil,Switzerland,8.8169,47.22341,sfkeller at hsr.ch (and/or at gmail.ch)
65,"National University of ""Kyiv-Mohyla Academy"", Ecology Faculty",Kyiv,Ukraine,30.515647,50.456936,tanyakuchma at yahoo.com
66,Centre for Research and Technology Hellas - Hellenic Institute of Transport,Thessaloniki,Greece,22.996707,40.567811,emit at certh.gr
67,"Centre for Spatial Information Science(CSIS), University of Tokyo","Kashiwa-shi, Chiba",Japan,139.938952,35.902681,tosseto at csis.u-tokyo.ac.jp
68,FOSS4Geo Academy @ Del Mar College National Open Geospatial Technology Consortium,"Corpus Christi, Republic of Texas",USA,-97.407096,27.764053,pdavis at delmar.edu
69,Osaka City University(OCU),"Sumiyoshi-ku, Osaka",Japan,135.507556,34.593067,venka.osgeo at gmail.com
70,Università di Genova - Laboratorio di Geomatica,Genova,Italy,8.962795,44.400133,bianca.federici at unige.it
71,Universidad de Las Palmas de Gran Canaria - Escuela de Ingenierías Industriales y Civiles - Grado en Ingenieria Geomática y Topografía,Las Palmas de Gran Canaria,Spain,-15.456207,28.069303,sub_dgn at eiic.ulpgc.es
72,"Center for Advanced Research on Spatial Information, Hunter College - CUNY",New York,US,-73.964831,40.768703,carson.farmer at hunter.cuny.edu
73,"Hellenic digital earth Centre of Excellence, Aristotle University of Thessaloniki - AUTH",Thessaloniki,Greece,22.961498,40.627516,labrinos at eled.auth.gr
74,"Interfaculty Department of Geoinformatics - Z_GIS, University of Salzburg",Salzburg,Austria,13.039586,47.823711,hermann.klug at sbg.ac.at
75,"The GI Science Group @ the Department of Geomatics Engineering, University of Calgary",Calgary,Canada,-114.132457,51.079735,ahunter at ucalgary.ca
76,Ben Gurion University of the Negev (BGU),Sede Boqer and Beer Sheva,Israel,34.78346,30.85332,ygarb at bgu.ac.il
77,"University of Belgrade, Faculty of Civil Engineering, Department of geodesy and geoinformatics",Belgrade,Serbia,20.476321,44.805499,kili at grf.bg.ac.rs
78,"Open Geospatial Laboratory of Northeast Institute of Geography and Agroecology, CAS","Changchun, Jilin",China,125.400779,43.99896,See Profile page
79,Bay College,"Escanaba, Michigan",USA,-87.16305,45.773875,linderok at baycollege.edu
80,"Taras Shevchenko National University of Kyiv (TSNUK) OSGeo Research and Education Lab, Faculty of Geography, Department of Physical Geography and Geoecology",Kyiv,Ukraine,30.4752782,50.3825971,d.svidzinska at gmail.com
81,"University of Colorado Denver, Department of Geography and Environmental Sciences","Denver, CO",USA,-105.0019444,39.0122222,Rafael.Moreno at ucdenver.edu
82,French Space Agency CNES,Toulouse,France,1.481608,43.561984,manuel.grizonnet at cnes.fr
83,Comunidad gvSIG Uruguay,Montevideo,Uruguay,-56.203617,-34.905912,sergio.acostaylara@mtop.gub.uy; victoria.alvarez@imm.gub.uy; alis@correo.com.uy; nchaer@farq.edu.uy; dcabrera@mides.gub.uy
84,"Department of Geodesy and Surveying, Budapest University of Technology and Economics",Budapest,Hungary,19.054403,47.481916,siki.zoltan at epito.bme.hu
85,"Center for Geographic Analysis, Harvard University",Cambridge MA,USA,-71.116913,42.376398,blewis at cga.harvard.edu
86,Community Mapping Lab Green Mountain College,"Poultney, VT",USA,-73.240679,43.515866,vanhoesenj at greenmtn.edu
87,"National Environmental Modeling and Analysis Center (NEMAC), UNC Asheville","Asheville, NC",USA,-82.55149,35.59506,jdmorgan at unca.edu
88,Birds Eye View GIS,"Albuquerque, NM",USA,-106.60893,35.068353,kurt at birdseyeviewgis.com
89,"Geographic Information Science and Systems Research Group, Department of Geography and Environmental Studies, Ryerson University",Toronto,Canada,-79.38097,43.6591,crinner at ryerson dot ca
91,"ETIS Lab ENSEA UCP CNRS UMR 8051 , University of Cergy Pontoise",Cergy Pontoise,France,2.085741,49.043274,kotzino at gmail.com
92,"Department of Global Studies, Warren Wilson College",Asheville NC,USA,-82.4420794,35.6115585,dabernathy@warren-wilson.edu
93,"The Spatial Lab, Dept of Geography & Environmental Studies Wilfrid Laurier University","Waterloo, ON",Canada,-80.529557,43.474073,crobertson at wlu.ca
94,National Authority for Remote Sensing & Space Sciences,Cairo,Egypt,30.05,31.2333,ranyaalsayed at gmail.com
95,"Geomatics and Virtual Reality Research Group, Siberian State University of Geosystems and Technologies",Novosibirsk,Russian Federation,82.863503,54.986816,"alekseykw at gmail.com, it-technologies at yandex.ru"
96,"SMART Open Source Geospatial Laboratory, University of Wollongong",Wollongong,Australia,150.87889,-34.40596,tomas at uow.edu.au
97,"Department of Photogrammetry and Geoinformatics, Faculty of Civil Engineering, Budapest University of Technology and Economics",Budapest,Hungary,19.054717,47.481911,szabo.gyorgy at epito.bme.hu
98,"Geospatial Exploration Lab, Department of Geosciences, East Tennessee State University","Johnson City, Tennessee",USA,-82.370095,36.300059,joynert@mail.etsu.edu
99,"Dept. of Geoinformatics, Palacký University Olomouc",Olomouc,Czech Republic,17.26551,49.593812,rostislav.netek@upol.cz
100,University College London,London,United Kingdom,-0.133427,51.524773,c.ellul@ucl.ac.uk
101,A World Bridge,"Middletown, New York",USA,-74.438534,41.451795,ron@trilliumlearning.com
102,IREA-CNR,"Via Edoardo Bassini, Milano",Italy,9.23434,45.48046,oggioni.a@irea.cnr.it
103,HEIG-VD GIS-Lab University of Applied Sciences Western Switzerland at Yverdon,"Route de Cheseaux 1, 1401 Yverdon-les-Bains",Switzerland,6.6595,46.77938,jens.ingensand@heig-vd.ch
104,"Global Studies and Collaboration(GSC), Aoyama Gakuin University","Fuchinobe 5-10-1, Sagamihara-shi, Kanagawa",Japan,139.403,35.5664,taichi at gsc.aoyama.ac.jp
105,"Remote Sensing & GIS, Asian Institute of","58 Moo 9, Km. 42, Paholyothin Highway, Klong Luang, Pathumthani 12120",Thailand,100.612086,14.079753,sarawutn at ait.ac.th
107,"Geographic Information Science and Systems Research Group, School of Information Technology and Computing, American University of Nigeria","98 Lamido Zubairu Way, Yola By-Pass, P.M.B. 2250,Yola, Adamawa State",Nigeria,12.4996909,9.1911318,kalum.udagepola at aun.edu.ng
108,Department of Geography,"Ferdowsi University of Mashhad, Mashad",Iran,59.534125,36.306903,"m.minaei at um.ac.ir, minaei.masoud at gmail.com"
109,Laboratorio Dati Economici Storici Territoriali University of Siena,Via Pier Andrea Mattioli 10 - 53100 Siena,Italy,11.332129,43.312688,"{cristina,stefano}@ladestlab.it"
110,"Spatial Analysis Research Group Department of Geography, Harokopio University of Athens","El. Venizelou 70, Kallithea 17671, Athens",Greece,23.70755,37.96124,skalo@hua.gr
111,"Geoinformatics Lab, Department of Civil Engineering PEC University of Technology, Chandigarh, India","Sector 12, Chandigarh, 160012",India,76.780893,30.766247,haramritsingh.pec@gmail.com
112,"DePaul University, Department of Geography",Chicago,USA,-87.6269709,41.8775909,CFOLLETT@depaul.edu
113,"University of Wisconsin, Cartography Lab",Madison,USA,-89.4011849,43.075844,cmsack@wisc.edu
114,Center for Agricultural Networking and Information Sharing (CANIS),Nairobi,Kenya,36.816531,-1.279007,kiringai@gmail.com
115,"Spatiotemporal Data Research and Education Laboratory Southern Illinois University Edwardsville, Computer Science Department","Edwardsville, IL",USA,-90.0009,38.7917,marmcke@siue.edu
116,"Lakeland Community College, Geography and Geospatial Technology","Kirtland, OH",USA,41.6333,-81.3666,boliver@lakelandcc.edu
117,"GIS Lab of Ewha Womans University Dept of Social Studies (Geography), Ewha Womans University","52, Ewhayeodae-gil, Seodaemun-gu, Seoul",South Korea,126.946214,37.5650726,ykang@ewha.ac.kr
118,School of Science & Technology GeoForAll Lab of The University of Fiji,"Saweni, Lautoka",Fiji Islands,177.4079991,-17.6686835,shawkata@unifiji.ac.fj; edwinl@unifiji.ac.fj; anishm@unifiji.ac.fj
119,"Laboratorio de Geomática de la Universidad Nacional de Colombia, Sede Bogotá",Bogotá,Colombia,-74.08731,4.636,ializarazos@unal.edu.co; femesagi@unal.edu.co
120,"Centro de Investigación en Recursos Naturales y Sustentabilidad (CIRENYS), Universidad Bernardo O Higgins",Santiago,Chile,-70.656918,-33.467547,carlos.lara@ubo.cl
121,Spatial-Ecology and GeoComputation at Yale,"New Haven, CT",USA,-72.920816,41.320066,giuseppe.amatulli at gmail.com
123,A World Bridge,Barrow,Alaska,-156.779008,71.289655,ron@trilliumlearning.com
124,"Pete Fisher Unit, University of Leicester",Leicester,United Kingdom,-1.139759,52.636878,s.desabbata@le.ac.uk
125,"Landscape Architecture, Louisiana State University","Baton Rouge, LA",USA,-91.180909,30.411775,baharmon@lsu.edu
127,"Department of Earth Sciences, University of Gothenburg",Göteborg,Sweden,57.688529,11.966565,fredrikl@gvc.gu.se
128,"Department of Geography and Earth Science, Aberystwyth University",Aberystwyth,United Kingdom,52.416686,-4.066497,pfb@aber.ac.uk
129,Indikatrix.org,Budapest,Hungary,19.1172618,47.4691018,wirth.ervin@mailbox.org
131,"Laboratory for Cartography and GIS, University of Nebraska",Omaha,USA,41.2580265,-96.0116352,mpeterson@unomaha.edu
132,LabSIG UNGS,Buenos Aires,Argentina,50.4849078,3.3370012,ncaloni@ungs.edu.ar
133,Maynooth University,Kildare,Ireland,53.385066,-6.601791,peter.mooney@mu.ie
134,Nodo IDE del Instituto de Geografía,Buenos Aires,Argentina,-34.6036844,-58.3815591,noralu@filo.uba.ar
135,Suresh Gyan Vihar University,Jaipur,India,75.8613,26.8090,shruti.kanga@mygyanvihar.com
